d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
5,1.0,0.1,0.30195774054895574,0.8655222971689444,5,0.10417855440063588,finite,2.7959076646382393,21.25434820441201,,1.796173e+21,0.0,0.0
6,1.0,0.1,0.30195774054895574,1.0229379950738473,6,-0.014091176852092501,no_guarantee,,,,,8.326672684688674e-17,
7,1.0,0.1,0.30195774054895574,1.1674534544951733,7,-0.08640938962794759,no_guarantee,,,,,8.326672684688674e-17,
8,1.0,0.1,0.30195774054895574,1.3015114817691846,8,-0.13542571196952363,no_guarantee,,,,,8.326672684688674e-17,
3,1.189207115002721,0.1,0.33274161099152544,0.5303632769035046,3,0.9149472102049052,finite,3.7937978724163557,2.893761762057943,783,7.830000e+2,0.0,0.0
4,1.189207115002721,0.1,0.33274161099152544,0.7327861216741095,4,0.2829946540484923,finite,3.0313464018305103,8.185656450200344,153340350,1.533403e+8,0.0,0.0
5,1.189207115002721,0.1,0.33274161099152544,0.910897823784106,5,0.06731943008268762,finite,2.945249852397572,33.85509586048538,,7.163015e+33,1.3877787807814457e-16,2.1316282072803006e-13
6,1.189207115002721,0.1,0.33274161099152544,1.071020321230416,6,-0.04263088673808392,no_guarantee,,,,,1.3877787807814457e-16,
7,1.189207115002721,0.1,0.33274161099152544,1.2172290062919564,7,-0.10971169538909396,no_guarantee,,,,,1.3877787807814457e-16,
8,1.189207115002721,0.1,0.33274161099152544,1.352315107321946,8,-0.15510377915295512,no_guarantee,,,,,1.3877787807814457e-16,
3,1.4142135623730951,0.1,0.36185675717406995,0.5598836664856777,3,0.8368010020374405,finite,3.856780824515128,3.1967287226232863,1573,1.573000e+3,5.551115123125783e-17,0.0
4,1.4142135623730951,0.1,0.36185675717406995,0.7675234245366594,4,0.24083681035313992,finite,3.166663545469486,9.86254759131987,7286980231,7.286980e+9,1.6653345369377348e-16,0.0
5,1.4142135623730951,0.1,0.36185675717406995,0.9485701014809592,5,0.038086849438277906,finite,3.1064361621687695,61.677668756022626,,4.760677e+61,1.6653345369377348e-16,0.0
6,1.4142135623730951,0.1,0.36185675717406995,1.1103470081588993,6,-0.06503673464077307,no_guarantee,,,,,1.6653345369377348e-16,
7,1.4142135623730951,0.1,0.36185675717406995,1.2574454671814157,7,-0.12785324142397408,no_guarantee,,,,,1.6653345369377348e-16,
8,1.4142135623730951,0.1,0.36185675717406995,1.3929446331615778,8,-0.17031616166581554,no_guarantee,,,,,1.6653345369377348e-16,
3,1.681792830507429,0.1,0.3884119825349194,0.5846153525022524,3,0.774440378832626,finite,3.9459254442242955,3.504198918539444,3193,3.193000e+3,0.0,0.0
4,1.681792830507429,0.1,0.3884119825349194,0.7959706849751547,4,0.20771014860322168,finite,3.315020124909878,11.745670416456493,556763064331,5.567631e+11,0.0,0.0
5,1.681792830507429,0.1,0.3884119825349194,0.9789004889283709,5,0.0153829430789307,finite,3.2759947773138522,157.4956392999725,,3.130684e+157,8.326672684688674e-17,2.5011104298755527e-12
6,1.681792830507429,0.1,0.3884119825349194,1.1415916444698468,6,-0.08227932683249055,no_guarantee,,,,,4.107825191113079e-15,
7,1.681792830507429,0.1,0.3884119825349194,1.2890569844816688,7,-0.14171038893745752,no_guarantee,,,,,4.107825191113079e-15,
8,1.681792830507429,0.1,0.3884119825349194,1.4246001809191948,8,-0.1818641008324046,no_guarantee,,,,,4.107825191113079e-15,
3,2.0,0.1,0.4117740261069415,0.6046907893810735,3,0.7257304907870165,finite,4.05658084624746,3.8055008581584002,6390,6.390000e+3,1.1102230246251565e-16,0.0
4,2.0,0.1,0.4117740261069415,0.8185971677536692,4,0.18219637342534523,finite,3.4729707564365597,13.766970155196475,,5.847499e+13,1.1102230246251565e-16,0.0
